City,Name,Cuisine,Neighborhood,OpenTable_URL
Miami,Blue Collar,Contemporary American,MiMo / Upper East Side,https://www.opentable.com/r/mignonette-miami
Miami,Zitz Sum,Japanese Speciality,Coral Gables,https://www.opentable.com/r/zitz-sum-coral-gables-1
Miami,Ariete,Contemporary American,Coconut Grove,https://www.opentable.com/r/brasserie-laurel-miami
Miami,Krüs Kitchen,Contemporary American,Coconut Grove,https://www.opentable.com/r/krus-kitchen-miami
Miami,Phuc Yea,Asian,MiMo / Upper East Side,https://www.opentable.com/r/phuc-yea-miami
Miami,Stubborn Seed Miami Beach,American,South Beach,https://www.opentable.com/r/stubborn-seed-miami-beach
Miami,Ghee - Downtown Dadeland,Indian,Kendall,
Miami,The Den,Sushi,South Beach,https://www.opentable.com/r/the-den-miami-beach
Miami,Taki Omakase - Delray,Sushi,Delray Beach,https://www.opentable.com/r/taki-omakase-delray-delray-beach
Miami,Stage Kitchen & Bar - Boca,American,Boca Raton,https://www.opentable.com/r/stage-kitchen-and-bar-boca-raton
Milwaukee,DanDan Milwaukee,Chinese,Milwaukee,
Milwaukee,EsterEv,Contemporary American,Milwaukee,https://www.opentable.com/r/esterev-milwaukee
Milwaukee,Bavette La Boucherie,Farm-to-table,Milwaukee,
Minneapolis,Manny's Steakhouse,Steak,Downtown / North Loop,https://www.opentable.com/r/mannys-steakhouse-minneapolis-3
Minneapolis,P.S. Steak,Steakhouse,Downtown / Mill District,https://www.opentable.com/r/ps-steak-minneapolis
Minneapolis,Baldamar,Steak,Roseville,https://www.opentable.com/r/baldamar-roseville
Naples,Blackbird Modern Asian - Naples,Asian,Naples,
Naples,Tigress Rooftop Restaurant & Bar,Cantonese,Naples Park,https://www.opentable.com/r/tigress-rooftop-restaurant-and-bar-naples
Naples,Ocean Prime - Naples,Seafood,Naples,
Naples,Oise Ristorante - Fort Myers,Italian,Fort Myers,https://www.opentable.com/r/oise-ristorante-fort-myers
Nashville,Pelato - Nashville,Italian,Germantown,
Nashville,Locust Nashville,Seafood,Belmont / Hillsboro,https://www.opentable.com/r/locust-nashville
